-0.8,0.37593,0.78001
-0.8,0.37774,0.81846
-0.8,0.37869,0.85688
-0.8,0.37795,0.89524
-0.8,0.37465,0.93349
-0.8,0.3667,0.97691
-0.8,0.35705,1.0094
-0.8,0.3414,1.0455
-0.8,0.32059,1.0783
-0.8,0.29375,1.1069
-0.8,0.26212,1.1274
-0.8,0.22611,1.1419
-0.8,0.20675,1.1467
-0.8,0.14985,1.1509
-0.8,0.11976,1.1477
-0.8,0.073675,1.1359
-0.8,0.03785,1.1201
-0.8,0.0052625,1.099
-0.8,-0.014875,1.0811
-0.8,-0.045425,1.0413
-0.8,-0.061525,1.0088
-0.8,-0.074437,0.97039
-0.8,-0.08485,0.92562
-0.8,-0.091187,0.8953
-0.8,-0.098575,0.85759
-0.8,-0.10514,0.8198
-0.8,-0.11262,0.76439
-0.8,-0.11461,0.74386
-0.8,-0.11737,0.70568
-0.8,-0.11944,0.66738
-0.8,-0.12207,0.61644
-0.8,-0.12364,0.59051
-0.8,-0.12551,0.55206
-0.8,-0.12551,0.51374
-0.8,-0.12365,0.48738
-0.8,-0.11577,0.4378
